iter	Passed	Remaining
0	1	141
1	3	153
2	4	145
3	5	135
4	6	131
5	8	126
6	9	122
7	10	119
8	11	116
9	12	114
10	13	112
11	14	109
12	16	109
13	17	108
14	18	106
15	20	105
16	21	103
17	22	101
18	23	100
19	24	98
20	25	97
21	27	96
22	28	95
23	29	93
24	31	94
25	32	93
26	34	92
27	35	90
28	36	89
29	37	87
30	38	86
31	40	85
32	41	84
33	42	82
34	43	81
35	45	80
36	46	78
37	47	77
38	48	75
39	49	74
40	51	73
41	51	71
42	52	69
43	53	68
44	54	67
45	56	65
46	57	64
47	59	64
48	60	63
49	61	61
50	63	60
51	64	59
52	65	57
53	66	56
54	67	55
55	68	54
56	69	52
57	71	51
58	72	50
59	73	49
60	75	48
61	76	47
62	78	45
63	79	44
64	80	43
65	81	42
66	83	40
67	84	39
68	85	38
69	87	37
70	88	36
71	89	34
72	90	33
73	91	32
74	93	31
75	94	29
76	95	28
77	96	27
78	97	26
79	99	24
80	100	23
81	102	22
82	103	21
83	104	19
84	105	18
85	106	17
86	107	16
87	109	14
88	110	13
89	111	12
90	112	11
91	114	9
92	115	8
93	116	7
94	117	6
95	118	4
96	120	3
97	121	2
98	122	1
99	123	0
